moca_aid,nmem
ABDMG,879
CUMA,644
CHYA,625
HYA,483
THA,365
COL,357
BPMG,293
THEIA506,287
CRIUS31,262
ARG,240
CARN,223
CRIUS203,208
THEIA595,172
RHEA330,158
CRIUS207,157
CAR,153
RHEA273,142
THEIA301,136
MEL4,124
CRIUS209,123
USCO,122
CBER,117
CVCA,109
THEIA678,108
MEL5,107
SCOCEN,106
RHEA192,103
HSC759,101
GRX,98
TWA,90
HSC453,88
CRIUS155,87
LCC,82
FORH,82
THEIA133,81
RHEA331,76
CRIUS64,76
RHEA376,73
GRSCO,73
CRIUS223,73
CCBER,72
RHEA450,70
RHEA364,65
RHEA172,65
RHEA121,64
THEIA676,63
THEIA507,62
CASMG,62
HSC1580,61
CRIUS224,60
PERI,59
HSC396,55
CRIUS197,55
CRIUS173,55
THEIA509,55
RHEA222,55
THEIA905,55
RHEA223,54
RHEA167,54
HR1614MG,53
RHEA395,51
OCEMG,49
UCL,49
RHEA444,47
VCA,46
RHEA290,45
RHEA250,45
RHEA208,45
RHEA296,44
RHEA116,42
RHEA329,42
RHEA90,42
HSC1347,40
RHEA190,40
CRIUS138,39
ZETAH,39
RHEA323,39
RHEA285,39
CRIUS198,38
CRIUS13,37
SVCA,36
RHEA199,36
RHEA198,36
SHYA,35
COH51,35
PLE,35
CRIUS136,35
RHEA80,34
RHEA348,34
CWNU1066,33
CIC2391,32
CRIUS211,32
RHEA262,32
MEL1,32
THEIA1273,31
OCTN,31
RHEA23,31
OCT,31
CVUL,31
RHEA448,30
RHEA267,30
TAU,30
CRIUS205,30
RHEA299,30
HSC2283,30
CRIUS57,30
OH45,29
OH33,29
RHEA166,29
RHEA209,28
RHEA55,28
HSC1566,28
RHEA300,28
RHEA471,28
RHEA295,28
CRIUS210,28
RHEA409,28
RHEA459,28
CRIUS23,28
RHEA52,27
UMA,27
CRIUS61,27
RHEA276,27
CRIUS81,26
CRIUS135,26
RHEA19,26
THEIA425,26
RHEA464,26
CRIUS22,26
CRIUS213,25
GRSCOS27C,25
RHEA136,25
CRIUS65,25
RHEA195,24
RHEA34,24
CRIUS104,24
THOR,24
RHEA259,24
RHEA95,24
CRIUS192,24
RHEA180,24
CRIUS91,24
GRSCOS13,24
RHEA86,24
CRIUS106,23
CRIUS103,23
RHEA439,23
RHEA346,23
RHEA374,23
CRIUS140,22
FCCN,22
RHEA231,22
THEIA1274,22
THEIA1089,22
RHEA84,22
SIGPUP,22
RHEA210,21
CPL8,21
EPSIND,21
CRIUS37,21
RHEA443,21
RHEA106,21
RHEA325,21
RHEA449,21
XFOR,21
CRIUS170,21
RHEA338,21
RHEA235,20
RHEA311,20
CRIUS92,20
RHEA310,20
CRIUS222,20
RHEA107,20
RHEA30,20
RHEA308,20
RHEA168,20
CRIUS73,20
COH23,20
RHEA437,19
RHEA385,19
CRIUS149,19
RHEA201,19
RHEA76,19
CRIUS131,19
RHEA454,18
RHEA132,18
CRIUS44,18
THEIA1345,18
RHEA100,18
RHEA362,18
CRIUS157,18
RHEA219,18
